Názov,Autor,Žáner,,Link
Neónový právnik,Victor Methos,Trilery ,Krimi a detektívky ,https://link.michaldudas.com/n33ZXH
Neznámy Kimi Räikkönen,Kari Hotakainen,Biografie ,Šport                                                             ,         https://link.michaldudas.com/cYg1X6
Niečo vo vode,Catherine Steadman,,                                                                                  ,         https://link.michaldudas.com/rTaWzr
Nikdy neklam,Hallie Ephron,,                                                                                        ,         https://link.michaldudas.com/YKzm5S
Nikdy nikdy,Colleen Hoover,Romány a novely,,https://link.michaldudas.com/sqCqVZ
Obejmi mě,Maya Banks,Romantika ,Erotické romány                                                                     ,         https://link.michaldudas.com/LX0Vvu
Odlet,A. G. Riddle,Trilery ,                                                                                        ,         https://link.michaldudas.com/3ZqO5V
Odpočítavanie 1945,Chris Wallace Mitch Weiss,História,Odborné,https://link.michaldudas.com/IhXHkV
Odviate vetrom 1,Margaret Mitchell,Romány a novely,                                                                 ,         https://link.michaldudas.com/ApSycM
Odviate vetrom 2,Margaret Mitchell,Romány a novely,                                                                 ,         https://link.michaldudas.com/lEuJUd
Odvrátená tvár lásky,Colleen Hoover,Romantika ,                                                                     ,         https://link.michaldudas.com/aiorsL
Ohňostroj náhod,Jill Mansell,,                                                                                      ,         https://link.michaldudas.com/ngL4WW
Osudná cesta,Kathy Reichs,Krimi a detektívky ,                                                                      ,         https://link.michaldudas.com/Mie5UJ
Outsider,Anthony Franze,Krimi a detektívky ,Romány a novely                                                         ,         https://link.michaldudas.com/YVoVcO
Pani prezidentka Zuzana Čaputová,Dana Čermáková Petr Čermák,Politika,Reportáže a rozhovory,https://link.michaldudas.com/Uv6kZE
Piate evanjelium,Ian Caldwell,Trilery ,                                                                             ,         https://link.michaldudas.com/dXQ1Cd
Piloti formuly 1,Philippe Lambert,Šport,                                                                            ,         https://link.michaldudas.com/xigLKU
Počkám na teba,Jennifer L. Armentrout,Romány a novely,Romantika ,https://link.michaldudas.com/qtdrcP
Pod krídlami smrti,Paul Hoffman,Fantasy ,                                                                           ,         https://link.michaldudas.com/RIGgXB
Podstata zla,Luca D´Andrea,,                                                                                        ,         https://link.michaldudas.com/1Y4Dg9
Poklady slovenskej kuchyne,Silvia Pilková,Hobby a voľný čas,                                                        ,         https://link.michaldudas.com/7R2r49
Pokrvni bratia,Antonio Nicaso - Nicolas Gratteri,Romány a novely,                                                   ,         https://link.michaldudas.com/xjFs28
Politické hry,Michal Horský,Reportáže a rozhovory ,Politika                                                         ,         https://link.michaldudas.com/BYrzwO
Politické iskrenie,Michal Horský,Reportáže a rozhovory ,Politika                                                    ,         https://link.michaldudas.com/OSbha7
Posledné štyri istoty,Paul Hoffman,Fantasy ,                                                                        ,         https://link.michaldudas.com/BT7oge
Poslední aristokratka,Evžen Boček,Romantika ,Erotické romány                                                        ,         https://link.michaldudas.com/f8949E
Posledný policajt,Ben H. Winters,Krimi a detektívky ,Trilery                                                        ,         https://link.michaldudas.com/asAkcE
Posvätný pokoj,Audrey Carlan,,                                                                                      ,         https://link.michaldudas.com/kErV5q
Pravidlo štyroch,Ian Caldwell,Trilery ,                                                                             ,         https://link.michaldudas.com/xfRMAl
Prečo som prelomil mlčanie,Mikuláš Černák,Reportáže a rozhovory ,                                                   ,         https://link.michaldudas.com/NwWt4G
Prekliata,Stacey Halls,Romány a novely,  , https://link.michaldudas.com/yKVbHf
Prevtelenie,Jaroslav Coplák,Romány a novely,                                                                        ,         https://link.michaldudas.com/hgJwUH
Prežiť,Alex Morel,,                                                                                                 ,         https://link.michaldudas.com/Cwct3m
Přežít a závodit,Guenther Steiner,Šport, Biografie,https://link.michaldudas.com/OSVCtp
